subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
5792,0.0000,0.0006,0.0002,0.0001,0.0011,0.9981,-7188749.6352,-2997248.7527,-7185692.1540,-2994955.6418
5886,0.0000,0.0001,0.0000,0.0001,0.0013,0.9984,-7219324.4465,-3022472.9720,-7216266.9653,-3020179.8612
5745,0.0084,0.0343,0.6931,0.0591,0.1173,0.0878,-7197922.0786,-2976610.7551,-7194864.5974,-2974317.6442
5746,0.0139,0.0848,0.8050,0.0392,0.0144,0.0426,-7194864.5974,-2976610.7551,-7191807.1163,-2974317.6442
5748,0.0744,0.1256,0.6003,0.0487,0.0609,0.0902,-7188749.6352,-2976610.7551,-7185692.1540,-2974317.6442
5898,0.0002,0.0008,0.0032,0.0010,0.9856,0.0092,-7234611.8521,-3027059.1937,-7231554.3710,-3024766.0829
6054,0.0002,0.0012,0.0052,0.0031,0.0344,0.9558,-7249899.2578,-3056869.6348,-7246841.7766,-3054576.5239
5749,0.0064,0.0281,0.2557,0.4372,0.0852,0.1873,-7185692.1540,-2976610.7551,-7182634.6729,-2974317.6442
6070,0.0041,0.0190,0.0317,0.0175,0.1332,0.7945,-7259071.7012,-3061455.8564,-7256014.2200,-3059162.7456
6105,0.0002,0.0014,0.0014,0.0013,0.0113,0.9844,-7259071.7012,-3070628.2998,-7256014.2200,-3068335.1890
5750,0.0336,0.0318,0.0748,0.0445,0.6998,0.1154,-7170404.7484,-2976610.7551,-7167347.2672,-2974317.6442
5751,0.0013,0.0060,0.0247,0.8472,0.0162,0.1045,-7167347.2672,-2976610.7551,-7164289.7861,-2974317.6442
5754,0.0000,0.0000,0.0001,0.0003,0.9989,0.0007,-7194864.5974,-2978903.8659,-7191807.1163,-2976610.7551
5758,0.0001,0.0001,0.0007,0.0031,0.9868,0.0092,-7167347.2672,-2978903.8659,-7164289.7861,-2976610.7551
5759,0.0001,0.0001,0.0007,0.0031,0.9868,0.0092,-7164289.7861,-2978903.8659,-7161232.3050,-2976610.7551
6686,0.0002,0.0007,0.0067,0.0246,0.3737,0.5941,-5715043.7300,-3162352.7338,-5711986.2489,-3160059.6229
