subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
5792,0.0000,0.0014,0.0000,0.0001,0.0007,0.9977,0.0000,0.0000,0.0000,0.0000
5886,0.0000,0.0003,0.0000,0.0001,0.0006,0.9990,0.0000,0.0000,0.0000,0.0000
5745,0.0092,0.3914,0.0163,0.1074,0.3080,0.1676,0.0000,0.0000,0.0000,0.0000
5746,0.0143,0.6793,0.0078,0.0619,0.1761,0.0606,0.0000,0.0000,0.0000,0.0000
5748,0.0565,0.6844,0.0094,0.0649,0.0819,0.1030,0.0000,0.0000,0.0000,0.0000
5898,0.0002,0.0029,0.0001,0.0013,0.9836,0.0119,0.0000,0.0000,0.0000,0.0000
6054,0.0002,0.0035,0.0002,0.0034,0.0298,0.9630,0.0000,0.0000,0.0000,0.0000
5749,0.0051,0.1165,0.0076,0.4924,0.1492,0.2291,0.0000,0.0000,0.0000,0.0000
6070,0.0030,0.0626,0.0006,0.0175,0.1418,0.7744,0.0000,0.0000,0.0000,0.0000
6105,0.0002,0.0041,0.0000,0.0014,0.0092,0.9851,0.0000,0.0000,0.0000,0.0000
5750,0.0261,0.0893,0.0024,0.0569,0.7036,0.1216,0.0000,0.0000,0.0000,0.0000
5751,0.0010,0.0129,0.0013,0.8411,0.0269,0.1167,0.0000,0.0000,0.0000,0.0000
5754,0.0000,0.0000,0.0000,0.0003,0.9988,0.0009,0.0000,0.0000,0.0000,0.0000
5758,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5759,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
6686,0.0002,0.0022,0.0002,0.0244,0.3229,0.6501,0.0000,0.0000,0.0000,0.0000
5760,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5762,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5763,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5765,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5766,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5767,0.0000,0.0000,0.0001,0.0003,0.8226,0.1769,0.0000,0.0000,0.0000,0.0000
5769,0.0012,0.0076,0.0010,0.2156,0.6397,0.1349,0.0000,0.0000,0.0000,0.0000
5770,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
6715,0.0002,0.0076,0.0030,0.0098,0.9792,0.0002,0.0000,0.0000,0.0000,0.0000
7148,0.0003,0.9993,0.0000,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
8205,0.0003,0.0026,0.0001,0.0078,0.1170,0.8722,0.0000,0.0000,0.0000,0.0000
6126,0.0000,0.0002,0.0000,0.0007,0.0094,0.9896,0.0000,0.0000,0.0000,0.0000
7365,0.0000,0.0001,0.0000,0.0036,0.4013,0.5949,0.0000,0.0000,0.0000,0.0000
7585,0.0036,0.1848,0.0060,0.0476,0.7414,0.0166,0.0000,0.0000,0.0000,0.0000
7735,0.0016,0.0747,0.0018,0.4564,0.4392,0.0264,0.0000,0.0000,0.0000,0.0000
8239,0.0009,0.0074,0.0003,0.0202,0.2624,0.7088,0.0000,0.0000,0.0000,0.0000
5849,0.0000,0.0001,0.0000,0.0027,0.6113,0.3858,0.0000,0.0000,0.0000,0.0000
